id,title,date,type,duration_seconds,video_url,summary_count,vote_count,topics,wer_score
1196,11/05/24 City Council,2024-11-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c3f0a270-aa9d-4e62-bf17-ff1cb49e0f5d.mp4/playlist.m3u8,49,2,parking minimums or parking reform,0.160578911095796
1194,10/15/24 City Council,2024-10-15,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e3b47e6c-9cd0-49ef-8787-759e5f616283.mp4/playlist.m3u8,53,6,groundwater or water supply|infill development|infrastructure deficit|parking minimums or parking reform,0.19913810382842254
1191,10/1/24 City Council,2024-10-01,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_01549b2c-7136-40f7-9c4c-20467b68197b.mp4/playlist.m3u8,27,1,,0.28692866822717755
1188,9/17/24 City Council,2024-09-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_01fb70df-e33a-4e3d-8a0d-920f3abc11f6.mp4/playlist.m3u8,54,4,adu (accessory dwelling units)|infill development|missing middle housing|parking minimums or parking reform,0.3403173199181823
1185,9/3/24 City Council,2024-09-03,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_ac0d2734-ab5b-45a9-bb4f-dc7f53b86f1b.mp4/playlist.m3u8,40,3,adu (accessory dwelling units)|form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|valley's edge development,0.8557702032972591
1180,8/20/24 City Council,2024-08-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_94eaee50-b26b-405c-b3ca-34d86753c1f1.mp4/playlist.m3u8,53,7,infill development|missing middle housing,0.29069616135328563
1174,7/18/24 Planning Commission,2024-07-18,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c1915aa0-4f9d-437d-952d-92e50b0bc41c.mp4/playlist.m3u8,26,5,infill development,0.1632512377013223
1172,7/16/24 City Council,2024-07-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_3721d6d2-7015-452f-b47b-83d82f311e45.mp4/playlist.m3u8,17,1,,0.37904269081500647
1168,6/18/24 City Council,2024-06-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c1e388ad-98a0-4d5b-a64b-7988900d5920.mp4/playlist.m3u8,52,6,,0.2270572620401972
1166,6/4/24 City Council,2024-06-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_9bb26ba2-d462-4704-a94e-33916d9c3f4d.mp4/playlist.m3u8,52,9,missing middle housing|parking minimums or parking reform,0.8937821683546405
1165,5/21/24 City Council,2024-05-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f5451098-db17-4901-9359-6a258a2d9057.mp4/playlist.m3u8,37,3,housing|infill development|smart growth|valley's edge development,0.3269434989788972
1162,5/7/24 City Council,2024-05-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_22f02d42-d03e-46ea-b260-1bb69497aeb1.mp4/playlist.m3u8,70,8,infrastructure deficit,0.556750941366326
1160,4/16/24 City Council,2024-04-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_98c05cc2-fb0b-4236-a0b5-f8ed14af6a61.mp4/playlist.m3u8,44,6,infrastructure deficit,0.37576422636776924
1159,4/2/24 City Council,2024-04-02,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c91dc1c1-a590-4185-92ec-2f4ff5681dac.mp4/playlist.m3u8,55,4,,0.3573730342871874
1156,3/19/24 City Council,2024-03-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e8618f46-c05a-454c-9d4a-990f7a346402.mp4/playlist.m3u8,55,7,parking minimums or parking reform,0.23547424022047003
1155,3/5/24 City Council,2024-03-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_1376682e-7726-4051-b18f-bfe19640a517.mp4/playlist.m3u8,43,5,infrastructure deficit,0.23433874709976799
1154,02/20/24 City Council,2024-02-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_36357f78-c87c-45bd-995a-5d101f7c9e48.mp4/playlist.m3u8,41,4,groundwater or water supply,0.17748424538042512
1153,2/6/24 City Council,2024-02-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_06d788ca-5ad5-4e61-a0d7-e10cdd4a9ff9.mp4/playlist.m3u8,25,4,,0.9813823004335629
1152,2/1/24 Planning Commission,2024-02-01,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4605a12b-0ad7-4907-8eed-1c68fb8f9532.mp4/playlist.m3u8,16,3,,0.17021004098360656
